neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
214,0.963,0.962,0.8916,0.525,0.2868,0.273,0.2642,0.2704,0.2832,0.2928,0.2872
215,0.0322,0.0318,0.0246,0.024,0.0242,0.0274,0.032,0.033,0.0362,0.0374,0.039
216,0.9684,0.9862,0.9882,0.9878,0.9848,0.9814,0.9758,0.969,0.9586,0.9506,0.9354
217,0.2064,0.034,0.0204,0.0158,0.0126,0.0098,0.0094,0.0068,0.0068,0.0062,0.006
218,0.4322,0.2628,0.2428,0.2278,0.2672,0.301,0.3026,0.3326,0.3328,0.3404,0.346
219,0.871,0.9696,0.9762,0.9762,0.9756,0.9758,0.9768,0.9768,0.9728,0.9658,0.9444
220,0.8114,0.9416,0.931,0.904,0.8322,0.7884,0.7132,0.6614,0.631,0.6118,0.5914
221,0.9576,0.8232,0.862,0.8932,0.9034,0.9246,0.9332,0.9352,0.9332,0.9298,0.9254
222,0.293,0.0254,0.0198,0.0186,0.0188,0.0194,0.0186,0.0188,0.0196,0.0196,0.0184
223,0.8464,0.086,0.0828,0.096,0.0944,0.087,0.0902,0.0946,0.0874,0.0874,0.0816
224,0.6454,0.111,0.0546,0.0428,0.0358,0.0342,0.035,0.034,0.0288,0.0266,0.0256
225,0.5918,0.5412,0.331,0.2638,0.2184,0.1782,0.161,0.1452,0.1268,0.0958,0.074
226,0.0132,0.0188,0.0254,0.0266,0.0212,0.0218,0.0216,0.0242,0.0212,0.0214,0.0218
227,0.0202,0.017,0.0082,0.0048,0.0026,0.0018,0.0016,0.0018,0.0018,0.0014,0.0014
228,0.0586,0.1092,0.059,0.0414,0.0352,0.0332,0.0334,0.035,0.0412,0.0476,0.0506
229,0.919,0.8682,0.8914,0.9014,0.9042,0.8972,0.8802,0.849,0.8316,0.826,0.8242
230,0.0126,0.0044,0.0036,0.0032,0.0028,0.0024,0.0024,0.0024,0.0026,0.0024,0.0022
231,0.997,0.9984,0.9982,0.9974,0.997,0.9976,0.9978,0.9978,0.9974,0.9972,0.9972
232,0.036,0.0736,0.0808,0.0638,0.0396,0.0256,0.0176,0.0122,0.0094,0.0084,0.008
233,0.8982,0.8982,0.9098,0.924,0.927,0.9254,0.922,0.9126,0.904,0.8884,0.872
234,0.0,0.0,0.0004,0.0006,0.0008,0.0012,0.0012,0.001,0.001,0.001,0.001
235,0.9996,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,0.1386,0.0672,0.0666,0.0676,0.088,0.0968,0.1022,0.123,0.1578,0.1916,0.2696
237,0.7388,0.777,0.7726,0.7458,0.7008,0.6798,0.6556,0.6338,0.6254,0.6264,0.6442
238,0.8312,0.8838,0.7326,0.4072,0.3326,0.3108,0.3144,0.2806,0.275,0.2918,0.2854
239,0.775,0.8402,0.8,0.7418,0.692,0.6574,0.6538,0.6528,0.6302,0.6256,0.6212
240,0.0892,0.013,0.006,0.005,0.0038,0.0028,0.0022,0.0024,0.0026,0.0024,0.0022
241,0.717,0.9616,0.9754,0.9806,0.9842,0.9874,0.9874,0.9874,0.9882,0.9886,0.9892
242,0.4842,0.0952,0.1162,0.1512,0.1842,0.2148,0.2428,0.257,0.2752,0.2834,0.2886
243,0.9974,0.998,0.9978,0.9974,0.9974,0.9972,0.9972,0.9972,0.9972,0.9972,0.997
244,0.1184,0.112,0.107,0.0992,0.1174,0.1176,0.133,0.1748,0.2576,0.3018,0.3546
245,0.2258,0.086,0.0734,0.0756,0.0934,0.1126,0.125,0.131,0.1334,0.1406,0.16
246,0.4156,0.2682,0.3544,0.3302,0.3242,0.3436,0.346,0.3506,0.361,0.3802,0.3932
247,0.8174,0.6526,0.4676,0.3594,0.3056,0.2354,0.1692,0.114,0.0852,0.0564,0.044
248,0.2392,0.1042,0.1214,0.1418,0.1696,0.1792,0.1886,0.192,0.1992,0.2058,0.2072
249,0.9734,0.984,0.9916,0.9944,0.996,0.9964,0.996,0.995,0.994,0.994,0.9938
250,0.2288,0.1198,0.0886,0.0702,0.0666,0.0654,0.0674,0.0642,0.0688,0.0674,0.0718
251,0.032,0.0818,0.0756,0.0724,0.0674,0.0626,0.0652,0.0662,0.0714,0.0744,0.077
252,0.7196,0.1688,0.0536,0.0444,0.0546,0.0642,0.066,0.0754,0.0916,0.0984,0.1022
253,0.2428,0.0618,0.052,0.0436,0.034,0.0254,0.0218,0.0222,0.0196,0.0182,0.0166
254,0.1522,0.2866,0.322,0.3418,0.3336,0.3194,0.338,0.3236,0.307,0.2924,0.2814
255,0.954,0.9886,0.9896,0.99,0.9908,0.9916,0.9926,0.9928,0.993,0.9928,0.9924
